ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1075849176::Physical Name
"1075838981::244","Customer Number",Column,"CUST_Number"
"1075838981::246","Customer Address",Column,"CUST_Address"
"1075838981::247","Customer City",Column,"CUST_City"
"1075838981::248","Customer First Name",Column,"CUST_First_Name"
"1075838981::249","Customer Last Name",Column,"CUST_Last_Name"
"1075838981::250","Customer State",Column,"CUST_State"
"1075838981::251","Customer Zip Code",Column,"CUST_Zip_Code"
"1075838981::252","Email",Column,"Email"
"1075838981::259","Customer Number",Column,"CUST_Number"
"1075838981::264","Customer Number",Column,"CUST_Number"
"1075838981::266","Credit Card",Column,"Credit_Card"
"1075838981::267","Credit Card Exp",Column,"Credit_Card_Exp"
"1075838981::268","Status Code",Column,"Status_Code"
"1075838981::279","Creditcard",Column,""
"1075838981::280","Creditcardexp",Column,""
"1075838981::281","Statuscode",Column,""
"1075838981::283","Custnumber",Column,""
"1075838981::284","Custaddress",Column,""
"1075838981::285","Custcity",Column,""
"1075838981::286","Custfirstname",Column,""
"1075838981::287","Custlastname",Column,""
"1075838981::288","Custstate",Column,""
"1075838981::289","Custzipcode",Column,""
"1075838981::290","Email",Column,""
"1075838981::292","Rentalrecorddate",Column,""
"1075838981::293","Moconum",Column,""
"1075838981::294","Movienumber",Column,""
"1075838981::295","Rentaldate",Column,""
"1075838981::296","Duedate",Column,""
"1075838981::297","Rentalstatus",Column,""
"1075838981::298","Overduecharge",Column,""
"1075838981::299","Rentalrate",Column,""
"1075838981::301","Movietitle",Column,""
"1075838981::303","Creditcard",Column,""
"1075838981::304","Creditcardexp",Column,""
"1075838981::305","Statuscode",Column,""
"1075838981::306","Overduechargerate",Column,""
"1075838981::308","Custnumber",Column,""
"1075838981::309","Custaddress",Column,""
"1075838981::310","Custcity",Column,""
"1075838981::311","Custfirstname",Column,""
"1075838981::312","Custlastname",Column,""
"1075838981::313","Custstate",Column,""
"1075838981::314","Custzipcode",Column,""
"1075838981::315","Email",Column,""
"1075838981::317","Rentalrecorddate",Column,""
"1075838981::318","Moconum",Column,""
"1075838981::319","Movienumber",Column,""
"1075838981::320","Rentaldate",Column,""
"1075838981::321","Duedate",Column,""
"1075838981::322","Rentalstatus",Column,""
"1075838981::323","Overduecharge",Column,""
"1075838981::324","Rentalrate",Column,""
"1075838981::325","Overduechargerate",Column,""
"1075838981::330","Movie Number",Column,"Movie_Number"
"1075838981::335","Store Number",Column,"Store_Number"
"1075838981::340","Payment Transaction Number",Column,"Payment_Transaction_Number"
"1075838981::342","Payment Type",Column,"Payment_Type"
"1075838981::343","Payment Amount",Column,"Payment_Amount"
"1075838981::344","Payment Date",Column,"Payment_Date"
"1075838981::345","Payment Status",Column,"Payment_Status"
"1075838981::346","Check Bank Number",Column,"Check_Bank_Number"
"1075838981::347","Check Number",Column,"Check_Number"
"1075838981::348","Epay Vendor Number",Column,"Epay_Vendor_Number"
"1075838981::349","Epay Account Number",Column,"Epay_Account_Number"
"1075838981::350","Credit Card Number",Column,"Credit_Card_Number"
"1075838981::351","Credit Card Exp",Column,"Credit_Card_Exp"
"1075838981::352","Credit Card Type",Column,"Credit_Card_Type"
"1075838981::355","Employee Number",Column,"EMP_Number"
"1075838981::359","Customer No",Column,"customer_no"
"1075838981::363","Customer Number",Column,"CUST_Number"
"1075838981::367","Payment Transaction Number",Column,"Payment_Transaction_Number"
